Color           Size 
--------------- -----
NULL            NULL 
Black           NULL 
Black           38   
Black           40   
Black           42   
Black           44   
Black           46   
Black           48   
Black           52   
Black           58   
Black           60   
Black           62   
Black           L    
Black           M    
Black           S    
Black           XL   
Blue            NULL 
Blue            44   
Blue            46   
Blue            50   
Blue            54   
Blue            58   
Blue            60   
Blue            62   
Blue            L    
Blue            M    
Blue            S    
Grey            NULL 
Multi           NULL 
Multi           L    
Multi           M    
Multi           S    
Multi           XL   
Red             NULL 
Red             44   
Red             48   
Red             52   
Red             56   
Red             58   
Red             60   
Red             62   
Silver          NULL 
Silver          38   
Silver          40   
Silver          42   
Silver          44   
Silver          46   
Silver          48   
Silver          52   
Silver          70   
Silver/Black    NULL 
White           L    
White           M    
Yellow          38   
Yellow          40   
Yellow          42   
Yellow          44   
Yellow          46   
Yellow          48   
Yellow          50   
Yellow          54   
Yellow          58   
Yellow          60   
Yellow          62   
Yellow          L    
Yellow          M    
Yellow          S    
Yellow          XL   

(68 rows affected)
