ParentCategory                                     SubCategory                                       
-------------------------------------------------- --------------------------------------------------
Accessories                                        Bike Racks                                        
Accessories                                        Bike Stands                                       
Accessories                                        Bottles and Cages                                 
Accessories                                        Cleaners                                          
Accessories                                        Fenders                                           
Accessories                                        Helmets                                           
Accessories                                        Hydration Packs                                   
Accessories                                        Lights                                            
Accessories                                        Locks                                             
Accessories                                        Panniers                                          
Accessories                                        Pumps                                             
Accessories                                        Tires and Tubes                                   
Bikes                                              Mountain Bikes                                    
Bikes                                              Road Bikes                                        
Bikes                                              Touring Bikes                                     
Clothing                                           Bib-Shorts                                        
Clothing                                           Caps                                              
Clothing                                           Gloves                                            
Clothing                                           Jerseys                                           
Clothing                                           Shorts                                            
Clothing                                           Socks                                             
Clothing                                           Tights                                            
Clothing                                           Vests                                             
Components                                         Bottom Brackets                                   
Components                                         Brakes                                            
Components                                         Chains                                            
Components                                         Cranksets                                         
Components                                         Derailleurs                                       
Components                                         Forks                                             
Components                                         Handlebars                                        
Components                                         Headsets                                          
Components                                         Mountain Frames                                   
Components                                         Pedals                                            
Components                                         Road Frames                                       
Components                                         Saddles                                           
Components                                         Touring Frames                                    
Components                                         Wheels                                            

(37 rows affected)
