OrderDate               SalesOrderNumber          ProductName                                        OrderQty UnitPrice             LineTotal                               
----------------------- ------------------------- -------------------------------------------------- -------- --------------------- ----------------------------------------
2008-06-01 00:00:00.000 SO71774                   ML Road Frame-W - Yellow, 48                              1              356.8980                               356.898000
2008-06-01 00:00:00.000 SO71774                   ML Road Frame-W - Yellow, 38                              1              356.8980                               356.898000
2008-06-01 00:00:00.000 SO71776                   Rear Brakes                                               1               63.9000                                63.900000
2008-06-01 00:00:00.000 SO71780                   ML Mountain Frame-W - Silver, 42                          4              218.4540                               873.816000
2008-06-01 00:00:00.000 SO71780                   Mountain-400-W Silver, 46                                 2              461.6940                               923.388000
2008-06-01 00:00:00.000 SO71780                   Mountain-500 Silver, 52                                   6              112.9980                               406.792800
2008-06-01 00:00:00.000 SO71780                   HL Mountain Frame - Silver, 38                            2              818.7000                              1637.400000
2008-06-01 00:00:00.000 SO71780                   Mountain-500 Black, 42                                    1              323.9940                               323.994000
2008-06-01 00:00:00.000 SO71780                   LL Mountain Frame - Black, 48                             1              149.8740                               149.874000
2008-06-01 00:00:00.000 SO71780                   HL Mountain Frame - Black, 42                             1              809.7600                               809.760000
2008-06-01 00:00:00.000 SO71780                   Mountain-200 Black, 38                                    4             1376.9940                              5507.976000
2008-06-01 00:00:00.000 SO71780                   LL Mountain Frame - Silver, 44                            2              158.4300                               316.860000
2008-06-01 00:00:00.000 SO71780                   Mountain-200 Silver, 42                                   4             1391.9940                              5567.976000
2008-06-01 00:00:00.000 SO71780                   HL Mountain Pedal                                         1               48.5940                                48.594000
2008-06-01 00:00:00.000 SO71780                   Women's Mountain Shorts, S                                6               41.9940                               251.964000
2008-06-01 00:00:00.000 SO71780                   Mountain-500 Silver, 42                                   1              112.9980                                67.798800
2008-06-01 00:00:00.000 SO71780                   Mountain-500 Black, 40                                    2              323.9940                               647.988000
2008-06-01 00:00:00.000 SO71780                   Mountain-500 Black, 44                                    3              323.9940                               971.982000
2008-06-01 00:00:00.000 SO71780                   Mountain-500 Black, 48                                    1              323.9940                               323.994000
2008-06-01 00:00:00.000 SO71780                   Mountain-500 Black, 52                                    2              323.9940                               647.988000
2008-06-01 00:00:00.000 SO71780                   Mountain-500 Silver, 40                                   2              112.9980                               135.597600
2008-06-01 00:00:00.000 SO71780                   Mountain-500 Silver, 44                                   3              112.9980                               203.396400
2008-06-01 00:00:00.000 SO71780                   Mountain-500 Silver, 48                                   3              112.9980                               203.396400
2008-06-01 00:00:00.000 SO71780                   Mountain-400-W Silver, 40                                 2              461.6940                               923.388000
2008-06-01 00:00:00.000 SO71780                   Mountain-400-W Silver, 42                                 3              461.6940                              1385.082000
2008-06-01 00:00:00.000 SO71780                   Mountain-200 Black, 42                                    5             1376.9940                              6884.970000
2008-06-01 00:00:00.000 SO71780                   ML Mountain Handlebars                                    3               37.1520                               111.456000
2008-06-01 00:00:00.000 SO71780                   HL Mountain Handlebars                                    1               72.1620                                72.162000
2008-06-01 00:00:00.000 SO71780                   LL Mountain Pedal                                         2               24.2940                                48.588000
2008-06-01 00:00:00.000 SO71780                   LL Mountain Frame - Black, 44                             1              149.8740                               149.874000
2008-06-01 00:00:00.000 SO71780                   Women's Mountain Shorts, L                                7               41.9940                               293.958000
2008-06-01 00:00:00.000 SO71780                   Hydration Pack - 70 oz.                                   1               32.9940                                32.994000
2008-06-01 00:00:00.000 SO71782                   Long-Sleeve Logo Jersey, M                                3               29.9940                                89.982000
2008-06-01 00:00:00.000 SO71782                   Touring-1000 Yellow, 54                                   3             1430.4420                              4291.326000
2008-06-01 00:00:00.000 SO71782                   Touring-1000 Yellow, 46                                   1             1430.4420                              1430.442000
2008-06-01 00:00:00.000 SO71782                   AWC Logo Cap                                             10                5.3940                                53.940000
2008-06-01 00:00:00.000 SO71782                   Bike Wash - Dissolver                                    10                4.7700                                47.700000
2008-06-01 00:00:00.000 SO71782                   HL Bottom Bracket                                         4               72.8940                               291.576000
2008-06-01 00:00:00.000 SO71782                   Classic Vest, S                                           6               38.1000                               228.600000
2008-06-01 00:00:00.000 SO71782                   Hitch Rack - 4-Bike                                       3               72.0000                               216.000000
2008-06-01 00:00:00.000 SO71782                   Touring-3000 Blue, 58                                     4              445.4100                              1781.640000
2008-06-01 00:00:00.000 SO71782                   Touring-2000 Blue, 50                                     4              728.9100                              2915.640000
2008-06-01 00:00:00.000 SO71782                   Water Bottle - 30 oz.                                     6                2.9940                                17.964000
2008-06-01 00:00:00.000 SO71782                   Touring-3000 Blue, 44                                     1              445.4100                               445.410000
2008-06-01 00:00:00.000 SO71782                   Touring-1000 Yellow, 50                                   1             1430.4420                              1430.442000
2008-06-01 00:00:00.000 SO71782                   Front Brakes                                              1               63.9000                                63.900000
2008-06-01 00:00:00.000 SO71782                   LL Bottom Bracket                                         1               32.3940                                32.394000
2008-06-01 00:00:00.000 SO71782                   Touring-2000 Blue, 46                                     1              728.9100                               728.910000
